,date,news,score
0,2022-01-01 01:03:35,"2 Little Known Dividend Growth Powerhouses For 2022I offer two under-the-radar stocks that offer (at least the potential of) above-average yields and strong growth runways as far as the eye can see. Find them here.
",1
1,2022-01-01 13:05:21,"Shipping stocks lead industrial gainers, Lilium takes #1 loser tagZIM Integrated lead was the best performing stock for the final week of 2021, while Lilium closed its dismal year being the top decliner.Industrial Select Sector SPDR (XLI) finished...
",1
2,2022-01-02 06:07:16,"The Most Important Retirement Chart You'll See All YearInvestment income has changed -- make sure your retirement plan addresses that.
",1
3,2022-01-02 17:47:20,"UBS goes cyclical for 2022: Sector WatchSolid growth, strong household finances and rising business spending should boost stocks next year, UBS says.
",1
4,2022-01-03 07:47:28,"S&P 500 Earnings/Revenue Update: Q4 '21 And A Look At 2022 Growth Rate RevisionsS&P 500 expected revenue growth for Q4 ’21 has ticked higher from 10.6% to 12% over the last 90 days. Read more.
",1
5,2022-01-03 12:08:25,"Dogs Of The Dow Performance Does Not Keep Pace In 2021Comparing the Dow Dogs performance to the DJIA Index, the largest detractor to the strategy's performance was the 412 basis point underperformance in the Health Care sector.
",-1
6,2022-01-03 16:49:25,"Royce Investment Partners Commentary: 4Q21 Small-Cap RecapGuruFocus Article or News written by Sydnee Gatewood and the topic is about: By Francis Gannon
",1
7,2022-01-04 07:01:47,"Energy Midstream: The Best High Yield Opportunity Of 2022Energy midstream offers a compelling combination of value, inflation resistance, and defensiveness. Check out our thoughts on this high yield opportunity.
",1
8,2022-01-04 09:16:50,"The Zacks Analyst Blog Highlights: SPDR S&P 500 ETF Trust, Vanguard S&P 500 ETF, Vanguard Total Stock Market ETF, iShares Core S&P 500 ETF and Invesco QQQ Trust.SPDR S&P 500 ETF Trust, Vanguard S&P 500 ETF, Vanguard Total Stock Market ETF, iShares Core S&P 500 ETF and Invesco QQQ Trust are highlighted in this analyst blog.
",1
9,2022-01-04 14:30:24,"Why Roblox Stock Could Provide Solid Entry For A Long Position In 2022Although Roblox is currently in a bearish downtrend on both the daily and weekly charts, it will eventually develop reversal signals, which could provide a solid entry for bullish traders and investors.
",1
10,2022-01-05 01:25:38,"AAII Sentiment Survey: Optimism Ends 2021 On A 6-Week HighBullish: 37.7%, up 8.1 points. Neutral: 31.8%, down 4.8 points. Bearish: 30.5%, down 3.3 points.
",1
