,date,news,score
0,2022-01-01 01:04:02,"I switched from Android to iPhone — here's what happenedSwitching from Google Pixel 6 Pro to the iPhone 13 Pro has left me torn
",65
1,2022-01-03 08:39:46,"II-VI upgraded to overweight at Raymond James, sees 15% upsideII-VI (IIVI) is being upgraded at Raymond James with a $77 price target, implying 15% upside from current levels, as the investment firm believes its data center transceiver...
",65
2,2022-01-03 15:51:00,"Sharemarkets are bracing for a rollercoaster 2022For two years, markets have been shielded from the pandemic by policies that helped keep them buoyant, Investors can now say goodbye to all that.
",85
3,2022-01-04 05:59:38,"My Top Cryptocurrency to Buy for 2022 (and It's Not Even Close)Ethereum 2.0 could pole-vault Ethereum past Bitcoin in the years to come.
",85
4,2022-01-04 10:47:10,"Apple (AAPL) Rumored to Develop Cheaper Mac External DisplaysApple's (AAPL) rumored new external display for its computer monitors would be half the price of its existing Pro Display XDR
",40
5,2022-01-04 18:11:44,"Is Apple stock's next stop $2 trillion or $4 trillion?The consumer tech tastemaker hits $3 trillion, but the next big milestone won't come easy.
",75
6,2022-01-05 11:39:58,"Sony Unveiled a New Electric SUV — And They May Actually Build ItNo word yet on potential PS5 integration.
",65
7,2022-01-06 07:38:41,"Futures mixed as tech stocks still weak, banks rallyU.S. stock index futures were mixed on Thursday, with economy-linked banking and energy shares leading gains, while interest rate-sensitive growth names…
",65
8,2022-01-06 17:35:30,"Apple Boss Tim Cook Got $98.7 Million In Total 2021 Pay, More Than Six Times His 2020 LevelTim Cook, who has steered Apple through the challenges of Covid to a $3 trillion market value, took home $98.7 million in total compensation in 2021. The figure, a more than six-fold increase from …
",85
9,2022-01-07 12:18:56,"Apple's latest Mac mini gets you in the M1 game from $500 (Save up to $150)Update: Adorama is now taking $150 off higher-end configurations at $749. Amazon currently offers the latest Apple M1 Mac mini 256GB for $599.99 shipped with the price dropping at checkout. Normally fetching $699, you’re looking at the best discount since the holiday season at $99 off. This is also quite notable in that recent shortages…
",45
10,2022-01-09 08:02:47,"iPhone 13 vs iPhone SE (2020): which is the right smartphone choice for you?Does the cheaper alternative work for you?
",65
11,2022-01-10 09:19:54,"Enjoy Technology Appoints Vineet Gambhir Chief People OfficerEnjoy Technology, Inc. (“Enjoy” or the “Company”) (NASDAQ: ENJY), a technology-powered service platform reinventing “Commerce at Home,” today announce
",25
12,2022-01-10 20:34:29,"Quick Charge Podcast: January 10, 2022Listen to a recap of the top stories of the day from Electrek. Quick Charge is available now on Apple Podcasts, Spotify, TuneIn and our RSS feed for Overcast and other podcast players. New episodes of Quick Charge are recorded Monday through Thursday and again on Saturday. Subscribe to our podcast in Apple Podcast or your favorite podcast player to guarantee […]
",42
13,2022-01-11 11:07:18,"iPhone 14 price leak suggests the Pro and Pro Max may get even more expensiveiPhone 14 Max price leaked too
",85
14,2022-01-12 07:04:06,"Wordle Fans Are Mistakenly Downloading an App Created by a Teenager Five Years AgoWordle! and other apps with similar names are surging up the app-store charts. The popular game has no app.
",85
15,2022-01-12 15:33:32,"CPR by Assurant Ranks No. 1 In Prestigious Entrepreneur Franchise 500CPR by Assurant (CPR), the nation’s largest mobile repair franchise according to Franchise.com, was ranked first in the 2022 Entrepreneur Franchise 50
",25
16,2022-01-13 08:30:37,"Apple's latest M1 iMac returns to Amazon all-time lows at up to $100 off from $1,249Amazon is currently discounting Apple’s latest M1 iMac starting at $1,249 shipped for the entry-level 7-core/8GB/256GB model. Normally fetching $1,299, you’re looking at only the second Amazon price cut on this configuration as well as the best price in months. The elevated 8-core model is down to $1,599, saving you $100 in the process and…
",45
17,2022-01-13 17:53:27,"How to invest in emerging markets on the ASXWant to invest in emerging markets for your portfolio, but don't know where to start? Here's an easy way to add some exotic shares.
",85
18,2022-01-14 12:52:39,"The 5 Best and 5 Worst Things About OPPO SmartphonesThe smartphone market is saturated and innovation is the key for each manufacturer to stand out in the competition. Besides Apple and Samsung, Chinese OEMs have been at the forefront of innovation,…
",85
19,2022-01-16 07:47:29,"3 Top Metaverse Stocks I'd Buy Right Now Without Any HesitationA trio of ideas to profit from the metaverse megatrend.
",20
20,2022-01-17 20:36:26,"Can 2021's best-performing FAANG stock do it gain in 2022?Two of its divisions dominate their fields and are cash cows.
",85
21,2022-01-18 12:18:33,"MacBook Air M1 deal knocks $100 off Apple's cheapest laptopThe Editor's Choice laptop is on sale at Amazon
",20
