,date,news,score
0,2022-01-01 01:36:26,"365 Inspirational Quotes for 2022Inspiring, poignant, thought-provoking, and just-plain-amusing quotes for the new year.
",20
1,2022-01-02 02:05:27,"MacBooks in 2022: What to expect from new MacBook Air M2, MacBook Pro and moreApple's given us plenty of reasons to get excited about 2022
",20
2,2022-01-03 06:28:26,"7 of the Best Robinhood Stocks for 2022 to Buy NowThe best Robinhood stocks are those that offer prospects for both earnings growth and solid stock returns in 2022.
",25
3,2022-01-03 10:22:45,"Water Ways Technologies Strengthens its Board of DirectorsNOT FOR DISTRIBUTION TO U.S. NEWSWIRE SERVICES OR DISSEMINATION IN THE UNITED STATES
",78
4,2022-01-03 13:54:16,"Apple becomes first U.S. company to reach $3 trillion market capApple's cash flow also makes the stock a safe haven during times of market uncertainty.
",20
5,2022-01-03 15:51:23,"Apple’s $3 Trillion Valuation Should Unnerve Investors
",85
6,2022-01-03 18:31:37,"Apple Tops $3 Trillion Market Cap, Bigger Than Britain's GDPThe iPhone maker’s share price has surged throughout 2021, leaving it up more than 200% since COVID first sent the world into lockdown early last year.
",85
7,2022-01-04 02:12:34,"Chip-related, auto stocks help Japan's Nikkei post six-week closing highTOKYO — Japan’s Nikkei jumped to a six-week closing high on Tuesday, the first trading session of the new year, as chip-related heavyweights rose after Wall…
",35
8,2022-01-04 07:16:35,"Sonder Holdings Inc. Expands Canadian Operations With New Properties in Montreal and TorontoSonder continues to expand across Canada with almost 1,000 live and contracted units in three cities.
",35
9,2022-01-04 08:45:41,"TP-Link Introduces New Tapo Smart Home Line to the U.S., Bringing More Product Options and Features to Provide Ultimate Convenience Across Every Aspect of Smart LivingTP-Link, a leading global provider in the networking and smart home space, is doubling down on the smart home segment by introducing a new smart home 
",25
10,2022-01-04 10:49:28,"Don't get overexposed to Tesla and Apple - investment analystInvestment analyst Emma Wall warned investors not to let strong gains in stocks like Tesla (TSLA) and Apple (AAPL) allow them to get overexposed to these megacaps.
",70
11,2022-01-04 12:53:38,"Stocks making the biggest moves midday: Ford, Bank of America, Occidental and moreThese are the stocks posting the largest moves in midday trading. 
",85
12,2022-01-04 16:22:15,"Dow posts closing record high for 2nd day, boosted by banksThe Dow Jones Industrial Average scored a record closing high on Tuesday for a second straight day as financial and industrial shares rallied, while the Nasdaq fell.
",25
13,2022-01-05 00:03:49,"Startup ONE says battery prototype delivered 750-mile rangeDETROIT — Our Next Energy (ONE), a two-year-old Michigan startup, said on Wednesday it had tested a prototype of its new battery in a Tesla Model S, driving…
",85
