,date,news,score
0,2022-01-01 04:11:47,"Overall Percentages: A Quick Sum Of 2021Alphabet was the big winner of the FANGs, as were the major indexes.
",20
1,2022-01-01 07:50:27,"Should Apple Buy Peloton?With the connected-fitness stock down 75% in 2021, now might be a good time for the tech giant to make a move.
",85
2,2022-01-01 12:28:24,"Amid another Covid surge, schools and businesses find plans disrupted once againThe pandemic is far from over, with the omicron variant driving cases of the virus to record levels as Americans enter a new year. 
",85
3,2022-01-01 17:46:47,"Marathon Holdings For Bitcoin Exposure: Top Trade Q1 2022Digital assets have been one of the biggest stories of 2021, but they have been largely un-tradable outside of spot trading due to the size and lack of options availability. Let's take a look at Bitcoin futures in relation with Marathon Holdings.
",78
4,2022-01-02 04:49:58,"Apple Inc. (NASDAQ:AAPL) Shares Sold by Victory Capital Management Inc.Victory Capital Management Inc. lessened its position in shares of Apple Inc. (NASDAQ:AAPL) by 2.1% in the third quarter, HoldingsChannel.com reports. The firm owned 12,147,434 shares of the iPhone maker’s stock after selling 257,729 shares during the quarter. Apple accounts for approximately 1.7% of Victory Capital Management Inc.’s portfolio, making the stock its 2nd biggest […]
",45
5,2022-01-02 09:51:30,"The Smartest Stocks to Buy With $20 Right Now and Hold ForeverYour investment portfolio can start with just $20 and still turn out great.
",85
6,2022-01-02 18:16:25,"A Few Predictions —and Questions —For Hollywood in the New Year
",72
7,2022-01-03 04:18:29,"Understanding Turkey’s Bold Plan To Stabilize the Lira
",25
8,2022-01-03 06:51:16,"Five Things You Need to Know to Start Your Day
",72
9,2022-01-03 07:51:20,"Fancy yourself a stock picker in 2022? These companies should be on your radarLook for companies that have high growth and high margins, and avoid those with high exposure to wage inflation. That's the playbook for 2022, says Goldman...
",85
10,2022-01-03 09:05:28,"Bitcoin at $100,000 or Popped by Fed? Analysts Give Their 2022 Views(Bloomberg) -- After a hawkish turn by the Federal Reserve took some steam out of cryptocurrencies at year-end while largely sparing other risk assets, central bank policy is taking a key role in the debate about the outlook for tokens in 2022. 
",85
11,2022-01-03 09:41:17,"AirPods Pro 2 rumored to feature lossless audio supportIt’s really amazing how far Bluetooth earphones have come in so short a time, in no small part thanks to Apple. The iPhone maker’s push to banish headphone jacks from mobile devices pus…
",25
12,2022-01-03 10:41:18,"iPhone 14 tipped with hole-punch display along with 'biggest' MacBook Air redesign everGet ready for a big year for Apple products in 2022
",75
13,2022-01-03 11:21:50,"Apple iPhone demand is 'strong,' Wedbush says, with services business worth $1.5TDemand for Apple's iPhone 13 is robust according to Wedbush Securities analyst Dan Ives, who believes that the tech giant sold more than 40 million iPhones during the holiday...
",20
14,2022-01-03 12:07:32,"U.S. stocks fluctuate after huge year; bonds fallU.S. equities drifted while Treasuries extended losses as traders braced for the start of a potentially volatile year and three expected rate hikes from the Federal Reserve.
",75
15,2022-01-03 13:00:21,": Tesla gets a more than $110 billion boost to its market cap from deliveries dataTesla Inc. market capitalization just grew by more than $100 billion after record quarterly deliveries data.
",85
16,2022-01-03 14:06:19,"Industry Moves: Balmain Hires Marc Jacobs Veteran To Lead Growth in the Americas  + MoreWho’s in, who’s out, who’s been promoted and who’s been hired from across the footwear and fashion industry.
",65
17,2022-01-03 14:19:40,"Apple’sMarket CapBriefly Tops $3 Trillion After Relentless RallyApple Inc.’s stock-market value briefly rose above $3 trillion on Monday, shattering yet another record and underscoring how the pandemic has turbocharged Big Tech’s decades-long rise.
",85
18,2022-01-03 14:41:48,"With Tentpoles Bound To Surge The 2022 Box Office, The Great Theatrical-Streaming Day & Date Experiment Goes Out Like A Dud In 2021Before the pandemic, if there was something studio executives rubbed their hands about, it was the near total eclipse of the theatrical window. In 2021, for some studios that dream came true, and a…
",85
19,2022-01-03 15:09:43,"Apple becomes first U.S. company to hit $3 trillion market valueApple Inc on Monday became the first U.S. company to hit $3 trillion in market capitalization, thanks to investor confidence that the iPhone maker will keep…
",20
20,2022-01-03 15:55:39,"Apple becomes world’s first $US3 trillion companyA new milestone for Apple as investors bet the iPhone maker will keep launching best-selling products as it explores new markets such as automated cars and virtual reality.
",20
21,2022-01-03 16:39:29,"Many BlackBerry phones to stop working as company decommissionsBlackBerry Ltd. says many of its mobile phones will stop reliably working on Tuesday after the company decommissions several of its services.
",85
