,date,price
0,2023-01-03 09:31:00,129.058630848
1,2023-01-03 09:32:00,128.92935344
2,2023-01-03 09:33:00,128.740409536
3,2023-01-03 09:34:00,129.307241248
4,2023-01-03 09:35:00,129.108352928
5,2023-01-03 09:36:00,129.168019424
6,2023-01-03 09:37:00,128.864714736
7,2023-01-03 09:38:00,129.32713008
8,2023-01-03 09:39:00,129.317185664
9,2023-01-03 09:40:00,129.7746288
10,2023-01-03 09:41:00,129.764684384
11,2023-01-03 09:42:00,130.013294784
12,2023-01-03 09:43:00,129.754739968
13,2023-01-03 09:44:00,129.754739968
14,2023-01-03 09:45:00,129.168019424
15,2023-01-03 09:46:00,128.969131104
16,2023-01-03 09:47:00,129.098408512
17,2023-01-03 09:48:00,128.55643784
18,2023-01-03 09:49:00,127.924967424
19,2023-01-03 09:50:00,127.875245344
20,2023-01-03 09:51:00,127.895134176
21,2023-01-03 09:52:00,127.676357024
22,2023-01-03 09:53:00,126.980247904
23,2023-01-03 09:54:00,127.199025056
24,2023-01-03 09:55:00,127.169191808
25,2023-01-03 09:56:00,127.079692064
26,2023-01-03 09:57:00,127.010081152
27,2023-01-03 09:58:00,126.761470752
28,2023-01-03 09:59:00,126.552638016
29,2023-01-03 10:00:00,126.224472288
30,2023-01-03 10:01:00,126.483027104
31,2023-01-03 10:02:00,126.313972032
32,2023-01-03 10:03:00,126.14491696
33,2023-01-03 10:04:00,126.115083712
34,2023-01-03 10:05:00,125.806806816
35,2023-01-03 10:06:00,126.14491696
36,2023-01-03 10:07:00,125.876417728
37,2023-01-03 10:08:00,126.005695136
38,2023-01-03 10:09:00,125.99575072
39,2023-01-03 10:10:00,125.776973568
40,2023-01-03 10:11:00,125.776973568
41,2023-01-03 10:12:00,125.49852992
42,2023-01-03 10:13:00,125.478641088
43,2023-01-03 10:14:00,125.220086272
44,2023-01-03 10:15:00,125.210141856
45,2023-01-03 10:16:00,125.329474848
46,2023-01-03 10:17:00,125.319530432
47,2023-01-03 10:18:00,125.15047536
48,2023-01-03 10:19:00,124.931698208
49,2023-01-03 10:20:00,124.822309632
50,2023-01-03 10:21:00,125.110697696
51,2023-01-03 10:22:00,124.981420288
52,2023-01-03 10:23:00,124.881976128
53,2023-01-03 10:24:00,125.239975104
54,2023-01-03 10:25:00,125.031142368
55,2023-01-03 10:26:00,124.921753792
56,2023-01-03 10:27:00,124.722865472
57,2023-01-03 10:28:00,124.75269872
58,2023-01-03 10:29:00,124.583643648
59,2023-01-03 10:30:00,124.762643136
60,2023-01-03 10:31:00,124.414588576
61,2023-01-03 10:32:00,124.822309632
62,2023-01-03 10:33:00,124.70297664
63,2023-01-03 10:34:00,124.474255072
64,2023-01-03 10:35:00,124.50408832
65,2023-01-03 10:36:00,124.434477408
66,2023-01-03 10:37:00,124.394699744
67,2023-01-03 10:38:00,124.50408832
68,2023-01-03 10:39:00,124.668171184
69,2023-01-03 10:40:00,124.693032224
70,2023-01-03 10:41:00,124.991364704
71,2023-01-03 10:42:00,125.070920032
72,2023-01-03 10:43:00,124.981420288
73,2023-01-03 10:44:00,124.85214288
74,2023-01-03 10:45:00,124.663198976
75,2023-01-03 10:46:00,124.673143392
76,2023-01-03 10:47:00,124.85214288
77,2023-01-03 10:48:00,124.757670928
78,2023-01-03 10:49:00,124.921753792
79,2023-01-03 10:50:00,124.981420288
80,2023-01-03 10:51:00,124.77755976
81,2023-01-03 10:52:00,124.543865984
82,2023-01-03 10:53:00,124.772587552
83,2023-01-03 10:54:00,124.683087808
84,2023-01-03 10:55:00,124.613476896
85,2023-01-03 10:56:00,124.75269872
86,2023-01-03 10:57:00,124.70297664
87,2023-01-03 10:58:00,124.792476384
88,2023-01-03 10:59:00,124.82728184
89,2023-01-03 11:00:00,124.896892752
90,2023-01-03 11:01:00,125.120642112
91,2023-01-03 11:02:00,125.011253536
92,2023-01-03 11:03:00,125.011253536
93,2023-01-03 11:04:00,124.991364704
94,2023-01-03 11:05:00,124.822309632
95,2023-01-03 11:06:00,124.90186496
96,2023-01-03 11:07:00,124.683087808
97,2023-01-03 11:08:00,124.613476896
98,2023-01-03 11:09:00,124.60353248
99,2023-01-03 11:10:00,124.394699744
100,2023-01-03 11:11:00,124.489171696
101,2023-01-03 11:12:00,124.295255584
102,2023-01-03 11:13:00,124.285311168
103,2023-01-03 11:14:00,124.195811424
104,2023-01-03 11:15:00,124.126200512
105,2023-01-03 11:16:00,124.315144416
106,2023-01-03 11:17:00,124.295255584
107,2023-01-03 11:18:00,124.364866496
108,2023-01-03 11:19:00,124.484199488
109,2023-01-03 11:20:00,124.384755328
110,2023-01-03 11:21:00,124.240561296
111,2023-01-03 11:22:00,124.344977664
112,2023-01-03 11:23:00,124.484199488
113,2023-01-03 11:24:00,124.613476896
114,2023-01-03 11:25:00,124.533921568
115,2023-01-03 11:26:00,124.45436624
116,2023-01-03 11:27:00,124.494143904
117,2023-01-03 11:28:00,124.484199488
118,2023-01-03 11:29:00,124.4295052
119,2023-01-03 11:30:00,124.643310144
120,2023-01-03 11:31:00,124.40464416
121,2023-01-03 11:32:00,124.25547792
122,2023-01-03 11:33:00,124.295255584
123,2023-01-03 11:34:00,124.315144416
124,2023-01-03 11:35:00,124.335033248
125,2023-01-03 11:36:00,124.225644672
126,2023-01-03 11:37:00,124.325088832
127,2023-01-03 11:38:00,124.40464416
128,2023-01-03 11:39:00,124.474255072
129,2023-01-03 11:40:00,124.543865984
130,2023-01-03 11:41:00,124.613476896
131,2023-01-03 11:42:00,124.523977152
132,2023-01-03 11:43:00,124.394699744
133,2023-01-03 11:44:00,124.35492208
134,2023-01-03 11:45:00,124.265422336
135,2023-01-03 11:46:00,124.245533504
136,2023-01-03 11:47:00,124.086422848
137,2023-01-03 11:48:00,124.096367264
138,2023-01-03 11:49:00,124.066534016
139,2023-01-03 11:50:00,124.15603376
140,2023-01-03 11:51:00,124.0565896
141,2023-01-03 11:52:00,124.021784144
142,2023-01-03 11:53:00,124.116256096
143,2023-01-03 11:54:00,123.847756864
144,2023-01-03 11:55:00,123.887534528
145,2023-01-03 11:56:00,123.877590112
146,2023-01-03 11:57:00,123.892506736
147,2023-01-03 11:58:00,124.016811936
148,2023-01-03 11:59:00,124.036700768
149,2023-01-03 12:00:00,124.0565896
150,2023-01-03 12:01:00,124.126200512
151,2023-01-03 12:02:00,124.091395056
152,2023-01-03 12:03:00,124.096367264
153,2023-01-03 12:04:00,124.066534016
154,2023-01-03 12:05:00,124.036700768
155,2023-01-03 12:06:00,124.126200512
156,2023-01-03 12:07:00,124.126200512
157,2023-01-03 12:08:00,124.3052
158,2023-01-03 12:09:00,124.295255584
159,2023-01-03 12:10:00,124.235589088
160,2023-01-03 12:11:00,124.170950384
161,2023-01-03 12:12:00,124.225644672
162,2023-01-03 12:13:00,124.225644672
163,2023-01-03 12:14:00,124.335033248
164,2023-01-03 12:15:00,124.285311168
165,2023-01-03 12:16:00,124.185867008
166,2023-01-03 12:17:00,124.165978176
167,2023-01-03 12:18:00,124.101339472
168,2023-01-03 12:19:00,124.10631168
169,2023-01-03 12:20:00,124.096367264
170,2023-01-03 12:21:00,124.066534016
171,2023-01-03 12:22:00,124.126200512
172,2023-01-03 12:23:00,124.0565896
173,2023-01-03 12:24:00,123.847756864
174,2023-01-03 12:25:00,123.668757376
175,2023-01-03 12:26:00,123.817923616
176,2023-01-03 12:27:00,123.95714544
177,2023-01-03 12:28:00,123.90742336
178,2023-01-03 12:29:00,123.937256608
179,2023-01-03 12:30:00,123.967089856
180,2023-01-03 12:31:00,123.947201024
181,2023-01-03 12:32:00,124.076478432
182,2023-01-03 12:33:00,123.986978688
183,2023-01-03 12:34:00,124.10631168
184,2023-01-03 12:35:00,124.116256096
185,2023-01-03 12:36:00,124.15603376
186,2023-01-03 12:37:00,124.0565896
187,2023-01-03 12:38:00,123.967089856
188,2023-01-03 12:39:00,124.00686752
189,2023-01-03 12:40:00,123.937256608
190,2023-01-03 12:41:00,123.927312192
191,2023-01-03 12:42:00,123.917367776
192,2023-01-03 12:43:00,123.937256608
193,2023-01-03 12:44:00,123.986978688
194,2023-01-03 12:45:00,123.962117648
195,2023-01-03 12:46:00,123.877590112
196,2023-01-03 12:47:00,123.8079792
197,2023-01-03 12:48:00,123.917367776
198,2023-01-03 12:49:00,123.877590112
199,2023-01-03 12:50:00,123.917367776
200,2023-01-03 12:51:00,123.927312192
201,2023-01-03 12:52:00,123.90742336
202,2023-01-03 12:53:00,123.917367776
203,2023-01-03 12:54:00,123.847756864
204,2023-01-03 12:55:00,123.867645696
205,2023-01-03 12:56:00,123.827868032
206,2023-01-03 12:57:00,123.917367776
